,state,year,quarter,type,count,amount,date,hdi,population
130,Bihar,2018,2,Recharge & bill payments,4346849,700649777.0602969,2018-01-01,0.574,128500364
131,Bihar,2018,2,Peer-to-peer payments,3447898,12141448845.077621,2018-01-01,0.574,128500364
132,Bihar,2018,2,Merchant payments,311487,318571872.8216527,2018-01-01,0.574,128500364
133,Bihar,2018,2,Financial Services,267433,45332532.096432865,2018-01-01,0.574,128500364
134,Bihar,2018,2,Others,258711,300128082.6160458,2018-01-01,0.574,128500364
135,Bihar,2018,1,Recharge & bill payments,3159922,375559206.7727593,2018-01-01,0.574,128500364
136,Bihar,2018,1,Peer-to-peer payments,2052089,5295346761.45083,2018-01-01,0.574,128500364
137,Bihar,2018,1,Financial Services,194295,33999413.87739952,2018-01-01,0.574,128500364
138,Bihar,2018,1,Merchant payments,138885,139827755.73655012,2018-01-01,0.574,128500364
139,Bihar,2018,1,Others,279111,201025034.17960182,2018-01-01,0.574,128500364
140,Bihar,2018,4,Peer-to-peer payments,8094296,26224303882.80399,2018-01-01,0.574,128500364
141,Bihar,2018,4,Recharge & bill payments,5469096,986310785.0093702,2018-01-01,0.574,128500364
142,Bihar,2018,4,Merchant payments,1680664,848968693.0665624,2018-01-01,0.574,128500364
143,Bihar,2018,4,Financial Services,237247,36199427.51318769,2018-01-01,0.574,128500364
144,Bihar,2018,4,Others,251098,302214380.18458414,2018-01-01,0.574,128500364
145,Bihar,2020,3,Peer-to-peer payments,37294332,153664683751.53278,2020-01-01,0.574,128500364
146,Bihar,2020,3,Recharge & bill payments,19027978,6313780616.601829,2020-01-01,0.574,128500364
147,Bihar,2020,3,Merchant payments,14777337,13111735855.02769,2020-01-01,0.574,128500364
148,Bihar,2020,3,Financial Services,104135,81355476.16367023,2020-01-01,0.574,128500364
149,Bihar,2020,3,Others,299966,157309412.49242482,2020-01-01,0.574,128500364
150,Bihar,2020,2,Peer-to-peer payments,26572651,116244368941.33606,2020-01-01,0.574,128500364
151,Bihar,2020,2,Recharge & bill payments,19522564,5642294772.453551,2020-01-01,0.574,128500364
152,Bihar,2020,2,Merchant payments,7011681,6760404421.62296,2020-01-01,0.574,128500364
153,Bihar,2020,2,Financial Services,73119,54077813.2606806,2020-01-01,0.574,128500364
154,Bihar,2020,2,Others,206727,105377680.17075577,2020-01-01,0.574,128500364
155,Bihar,2020,1,Peer-to-peer payments,23163922,99873688132.9031,2020-01-01,0.574,128500364
156,Bihar,2020,1,Recharge & bill payments,13837430,3680590624.9006104,2020-01-01,0.574,128500364
157,Bihar,2020,1,Merchant payments,7822567,5562692116.5708065,2020-01-01,0.574,128500364
158,Bihar,2020,1,Financial Services,57233,23954789.407903705,2020-01-01,0.574,128500364
159,Bihar,2020,1,Others,200663,115927863.46366584,2020-01-01,0.574,128500364
160,Bihar,2020,4,Peer-to-peer payments,49432098,208484557891.42865,2020-01-01,0.574,128500364
161,Bihar,2020,4,Merchant payments,26750991,23185594534.30522,2020-01-01,0.574,128500364
162,Bihar,2020,4,Recharge & bill payments,19908687,6926960996.688756,2020-01-01,0.574,128500364
163,Bihar,2020,4,Financial Services,119416,100785736.00790763,2020-01-01,0.574,128500364
164,Bihar,2020,4,Others,380481,207713978.04223877,2020-01-01,0.574,128500364
165,Bihar,2022,1,Peer-to-peer payments,138085265,500024806542.69324,2022-01-01,0.574,128500364
166,Bihar,2022,1,Merchant payments,114892163,95507710275.50963,2022-01-01,0.574,128500364
167,Bihar,2022,1,Recharge & bill payments,30545266,15431605247.390364,2022-01-01,0.574,128500364
168,Bihar,2022,1,Financial Services,169722,148088975.22896564,2022-01-01,0.574,128500364
169,Bihar,2022,1,Others,698018,299484690.3236611,2022-01-01,0.574,128500364
170,Uttar Pradesh,2019,3,Peer-to-peer payments,26990786,95134023863.97964,2019-01-01,0.596,231502578
171,Uttar Pradesh,2019,3,Recharge & bill payments,20359672,8000160942.595396,2019-01-01,0.596,231502578
172,Uttar Pradesh,2019,3,Merchant payments,19625935,7399443975.24218,2019-01-01,0.596,231502578
173,Uttar Pradesh,2019,3,Financial Services,258548,51363215.14597865,2019-01-01,0.596,231502578
174,Uttar Pradesh,2019,3,Others,1389018,683145478.0865316,2019-01-01,0.596,231502578
175,Uttar Pradesh,2019,2,Peer-to-peer payments,27105049,87581482658.94861,2019-01-01,0.596,231502578
176,Uttar Pradesh,2019,2,Recharge & bill payments,17551537,5627886175.9093685,2019-01-01,0.596,231502578
177,Uttar Pradesh,2019,2,Merchant payments,12733089,4894223107.452321,2019-01-01,0.596,231502578
178,Uttar Pradesh,2019,2,Financial Services,264091,38169259.945291094,2019-01-01,0.596,231502578
179,Uttar Pradesh,2019,2,Others,1229734,775758168.4201038,2019-01-01,0.596,231502578
180,Uttar Pradesh,2019,1,Peer-to-peer payments,32062452,68506766330.45149,2019-01-01,0.596,231502578
181,Uttar Pradesh,2019,1,Recharge & bill payments,15400713,4231102032.9564486,2019-01-01,0.596,231502578
182,Uttar Pradesh,2019,1,Merchant payments,8558766,3105904146.2085333,2019-01-01,0.596,231502578
183,Uttar Pradesh,2019,1,Financial Services,389733,43341558.48535549,2019-01-01,0.596,231502578
184,Uttar Pradesh,2019,1,Others,912840,637066065.9078369,2019-01-01,0.596,231502578
185,Uttar Pradesh,2019,4,Peer-to-peer payments,40540310,126564888408.1326,2019-01-01,0.596,231502578
186,Uttar Pradesh,2019,4,Recharge & bill payments,24299776,9082140369.774977,2019-01-01,0.596,231502578
187,Uttar Pradesh,2019,4,Merchant payments,20582052,9412924984.9687,2019-01-01,0.596,231502578
188,Uttar Pradesh,2019,4,Financial Services,242936,45686806.83093811,2019-01-01,0.596,231502578
189,Uttar Pradesh,2019,4,Others,1239931,433285937.588854,2019-01-01,0.596,231502578
190,Uttar Pradesh,2021,3,Peer-to-peer payments,127945827,440726915882.17084,2021-01-01,0.596,231502578
191,Uttar Pradesh,2021,3,Merchant payments,126699830,91089049637.02377,2021-01-01,0.596,231502578
192,Uttar Pradesh,2021,3,Recharge & bill payments,50414232,24348150109.635994,2021-01-01,0.596,231502578
193,Uttar Pradesh,2021,3,Financial Services,253418,292009129.0296748,2021-01-01,0.596,231502578
194,Uttar Pradesh,2021,3,Others,1230077,624716522.0745409,2021-01-01,0.596,231502578
195,Uttar Pradesh,2021,2,Peer-to-peer payments,102927942,388761820128.4563,2021-01-01,0.596,231502578
196,Uttar Pradesh,2021,2,Merchant payments,84860582,70351401159.78787,2021-01-01,0.596,231502578
197,Uttar Pradesh,2021,2,Recharge & bill payments,53030710,22266927128.75408,2021-01-01,0.596,231502578
198,Uttar Pradesh,2021,2,Financial Services,270944,266853066.82962543,2021-01-01,0.596,231502578
199,Uttar Pradesh,2021,2,Others,858953,525487682.5584012,2021-01-01,0.596,231502578
200,Uttar Pradesh,2021,1,Peer-to-peer payments,85539321,321609613378.6789,2021-01-01,0.596,231502578
201,Uttar Pradesh,2021,1,Merchant payments,78873969,55362244381.43686,2021-01-01,0.596,231502578
202,Uttar Pradesh,2021,1,Recharge & bill payments,38981894,18563189222.328217,2021-01-01,0.596,231502578
203,Uttar Pradesh,2021,1,Financial Services,250656,266104783.7449573,2021-01-01,0.596,231502578
204,Uttar Pradesh,2021,1,Others,853707,486435811.3771204,2021-01-01,0.596,231502578
205,Uttar Pradesh,2021,4,Merchant payments,183966052,142889329646.05463,2021-01-01,0.596,231502578
206,Uttar Pradesh,2021,4,Peer-to-peer payments,167503176,600973581946.6772,2021-01-01,0.596,231502578
207,Uttar Pradesh,2021,4,Recharge & bill payments,52863531,28812549097.65689,2021-01-01,0.596,231502578
208,Uttar Pradesh,2021,4,Financial Services,353219,386356976.48969895,2021-01-01,0.596,231502578
209,Uttar Pradesh,2021,4,Others,1471954,829152405.3448995,2021-01-01,0.596,231502578
210,Uttar Pradesh,2018,3,Peer-to-peer payments,13828768,32944051606.98276,2018-01-01,0.596,231502578
211,Uttar Pradesh,2018,3,Recharge & bill payments,9140873,2485029062.8899517,2018-01-01,0.596,231502578
212,Uttar Pradesh,2018,3,Merchant payments,2397448,1012726185.1169598,2018-01-01,0.596,231502578
213,Uttar Pradesh,2018,3,Financial Services,603303,76605144.65776658,2018-01-01,0.596,231502578
214,Uttar Pradesh,2018,3,Others,544964,493702369.5936288,2018-01-01,0.596,231502578
215,Uttar Pradesh,2018,2,Recharge & bill payments,9232131,2044535461.482608,2018-01-01,0.596,231502578
216,Uttar Pradesh,2018,2,Peer-to-peer payments,6484369,22197440015.945545,2018-01-01,0.596,231502578
217,Uttar Pradesh,2018,2,Merchant payments,909545,799920463.267408,2018-01-01,0.596,231502578
218,Uttar Pradesh,2018,2,Financial Services,563213,105536911.84026654,2018-01-01,0.596,231502578
219,Uttar Pradesh,2018,2,Others,521685,572768843.1641636,2018-01-01,0.596,231502578
220,Uttar Pradesh,2018,1,Recharge & bill payments,7003704,1201827543.8816488,2018-01-01,0.596,231502578
221,Uttar Pradesh,2018,1,Peer-to-peer payments,4123625,11786969148.760597,2018-01-01,0.596,231502578
222,Uttar Pradesh,2018,1,Merchant payments,442436,428301434.2754866,2018-01-01,0.596,231502578
223,Uttar Pradesh,2018,1,Financial Services,397328,75150444.99108115,2018-01-01,0.596,231502578
224,Uttar Pradesh,2018,1,Others,570712,447722351.3138524,2018-01-01,0.596,231502578
225,Uttar Pradesh,2018,4,Peer-to-peer payments,15804910,48836291123.914734,2018-01-01,0.596,231502578
226,Uttar Pradesh,2018,4,Recharge & bill payments,11976808,3040717446.728788,2018-01-01,0.596,231502578
