date,state,count,amount,registeredUsers,date_id
2019-02-01,30,768441,1591867103.3876169,278940,396
2019-02-01,31,2926,9242524.13698889,1747,396
2019-02-01,32,7283826,13031371561.185556,2550167,396
2019-02-01,33,32171737,64207676025.7576,7429609,396
2019-02-01,34,580077,1211446910.1278067,156458,396
2019-02-01,35,33689,120254709.67566316,21731,396
2019-03-01,0,121495376,201930021130.4267,10090557,424
2019-03-01,1,1208922,4075360018.976288,697628,424
2019-03-01,2,2735180,5572018781.123379,876184,424
2019-03-01,3,10706812,22905815605.84319,2962713,424
2019-03-01,4,1506543,3269682087.660841,267337,424
2019-03-01,5,5710476,9729032070.017328,1585859,424
2019-03-01,6,30343531,52489119199.442116,5783752,424
2019-03-01,7,69537876,103196812046.45694,6782286,424
2019-03-01,8,67303617,112468290031.93047,9797304,424
2019-03-01,9,68623959,111268137475.05241,16044607,424
2019-03-01,10,32139900,67692783254.279915,7380265,424
2019-03-01,11,552436,884716448.4404278,82128,424
2019-03-01,12,370234,912645034.7958701,112149,424
2019-03-01,13,261878,650956471.7134109,80077,424
2019-03-01,14,345008,863552002.5629337,136316,424
2019-03-01,15,98094,278793899.9513419,34134,424
2019-03-01,16,711717,1017377422.8172247,245456,424
2019-03-01,17,306550,612218602.1535325,87395,424
2019-03-01,18,5942571,12950443620.426512,1731523,424
2019-03-01,19,66444829,70540532616.83058,9643222,424
2019-03-01,20,14220647,21465973993.359142,2915511,424
2019-03-01,21,41422272,57304577359.22441,5387209,424
2019-03-01,22,12243111,19803259167.45332,2435058,424
2019-03-01,23,53610411,77676321491.24525,8180664,424
2019-03-01,24,38228649,59462694964.26805,8429299,424
2019-03-01,25,638751,961471473.848372,176929,424
2019-03-01,27,148735581,199617506744.95584,21313081,424
2019-03-01,28,76288614,139447944254.7973,10458693,424
2019-03-01,29,170733735,214536720438.19772,13635075,424
2019-03-01,30,1092416,2000367191.4968407,317194,424
2019-03-01,31,3104,9651761.463768471,2117,424
2019-03-01,32,9286096,16429809722.06447,2990963,424
2019-03-01,33,41410183,78959604643.64069,8428835,424
2019-03-01,34,716826,1460708357.4554117,177868,424
2019-03-01,35,33770,114071776.08729392,23931,424
2019-04-01,0,163572258,280746765547.7412,11220691,455
2019-04-01,1,574634,2254385357.8507075,716475,455
2019-04-01,2,3516646,7271163537.248237,985945,455
2019-04-01,3,13698625,29989802246.192574,3321742,455
2019-04-01,4,1850915,4152513817.939354,289590,455
2019-04-01,5,7362116,12573706305.150835,1752677,455
2019-04-01,6,37825985,69359719869.10031,6366679,455
2019-04-01,7,80744997,129024467424.89064,7289883,455
2019-04-01,8,85074242,159452410049.6681,10925031,455
2019-04-01,9,86905005,145538926507.29413,17949542,455
2019-04-01,10,43530314,93313426577.80914,8342274,455
2019-04-01,11,767070,1176509601.6562183,92972,455
2019-04-01,12,459475,1190573179.5272834,129321,455
2019-04-01,13,317170,834537138.3487769,93124,455
2019-04-01,14,449344,1200897682.088638,155358,455
2019-04-01,15,125239,368689350.63448817,39809,455
2019-04-01,16,801824,1215400160.2581902,272298,455
2019-04-01,17,365981,742436471.790219,100030,455
2019-04-01,18,6760510,15281983895.512096,1941220,455
2019-04-01,19,96805838,88203610254.64719,10885058,455
2019-04-01,20,18248618,28147748376.676952,3281371,455
2019-04-01,21,64995633,79769373632.04951,6115537,455
2019-04-01,22,16305758,27143788737.213055,2725900,455
2019-04-01,23,68131989,104687926790.85555,9165241,455
2019-04-01,24,42547632,76690662054.91364,9323799,455
2019-04-01,25,768971,1226641262.01104,197598,455
2019-04-01,27,201260620,272994428799.54803,23745297,455
